round64,round32,round16,round8,round4,round2,winner
Villanova,Villanova,Wisconsin,Florida,South Carolina,Gonzaga,North Carolina
Mt. St. Mary's,Wisconsin,Florida,South Carolina,Gonzaga,North Carolina,
Wisconsin,Virginia,Baylor,Gonzaga,Oregon,,
Virginia Tech,Florida,South Carolina,Xavier,North Carolina,,
Virginia,Southern California,Gonzaga,Kansas,,,
UNCW,Baylor,West Virginia,Oregon,,,
Florida,South Carolina,Xavier,North Carolina,,,
ETSU,Duke,Arizona,Kentucky,,,
SMU,Gonzaga,Kansas,,,,
Southern California,Northwestern,Purdue,,,,
Baylor,Notre Dame,Oregon,,,,
New Mexico St.,West Virginia,Michigan,,,,
South Carolina,Xavier,North Carolina,,,,
Marquette,Florida St.,Butler,,,,
Duke,Saint Mary's (CA),UCLA,,,,
Troy,Arizona,Kentucky,,,,
Gonzaga,Kansas,,,,,
South Dakota St.,Michigan St.,,,,,
Northwestern,Iowa St.,,,,,
Vanderbilt,Purdue,,,,,
Notre Dame,Rhode Island,,,,,
Princeton,Oregon,,,,,
West Virginia,Michigan,,,,,
Bucknell,Louisville,,,,,
Maryland,North Carolina,,,,,
Xavier,Arkansas,,,,,
Florida St.,Middle Tenn.,,,,,
FGCU,Butler,,,,,
Saint Mary's (CA),Cincinnati,,,,,
VCU,UCLA,,,,,
Arizona,Wichita St.,,,,,
North Dakota,Kentucky,,,,,
Kansas,,,,,,
UC Davis,,,,,,
Miami (FL),,,,,,
Michigan St.,,,,,,
Iowa St.,,,,,,
Nevada,,,,,,
Purdue,,,,,,
Vermont,,,,,,
Creighton,,,,,,
Rhode Island,,,,,,
Oregon,,,,,,
Iona,,,,,,
Michigan,,,,,,
Oklahoma St.,,,,,,
Louisville,,,,,,
Jacksonville St.,,,,,,
North Carolina,,,,,,
Texas Southern,,,,,,
Arkansas,,,,,,
Seton Hall,,,,,,
Minnesota,,,,,,
Middle Tenn.,,,,,,
Butler,,,,,,
Winthrop,,,,,,
Cincinnati,,,,,,
Kansas St.,,,,,,
UCLA,,,,,,
Kent St.,,,,,,
Dayton,,,,,,
Wichita St.,,,,,,
Kentucky,,,,,,
Northern Ky.,,,,,,
