,G,W,L,W-L%,SRS,SOS,Conf W,Conf L,Home W,Home L,Away W,Away L,Tm. Points,Opp. Points,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,29,13,16,0.448,-11.86,-7.1,7,11,9,5,4,11,2009,2073,1180,721,1555,0.464,207,550,0.376,360,543,0.663,222,904,408,210,83,412,631
Air Force,33,12,21,0.364,-3.06,1,4,14,11,7,0,11,2411,2477,1335,817,1876,0.436,264,728,0.363,513,715,0.717,304,1149,494,197,57,390,594
Akron,36,27,9,0.75,3.59,-1.21,14,4,13,2,7,6,2772,2550,1440,949,2035,0.466,366,984,0.372,508,744,0.683,357,1246,517,198,118,422,653
Alabama A&M,29,2,27,0.069,-26.99,-11.09,2,16,1,9,1,18,1794,2255,1175,628,1549,0.405,125,447,0.28,411,614,0.669,299,914,326,100,50,384,526
Alabama-Birmingham,33,17,16,0.515,-1.17,-1.83,9,9,11,5,4,8,2369,2316,1330,835,1809,0.462,203,583,0.348,496,674,0.736,321,1188,503,157,160,444,527
Alabama State,31,8,23,0.258,-19.75,-10.75,6,12,6,5,1,17,2042,2305,1260,719,1834,0.392,200,674,0.297,404,634,0.637,427,1188,300,150,98,488,629
Alabama,34,19,15,0.559,11.29,7.47,10,8,11,6,5,6,2330,2200,1380,809,1909,0.424,225,710,0.317,487,746,0.653,418,1327,390,200,141,474,664
Albany (NY),35,21,14,0.6,-0.16,-4.69,10,6,11,5,9,8,2496,2301,1400,907,1941,0.467,192,516,0.372,490,647,0.757,379,1257,444,178,60,416,617
Alcorn State,32,18,14,0.563,-12.33,-10.95,13,5,11,2,6,11,2221,2175,1285,800,1866,0.429,222,669,0.332,399,612,0.652,387,1243,425,209,115,452,610
American,30,8,22,0.267,-10.3,-3.5,5,13,4,11,4,11,1845,2049,1205,692,1542,0.449,168,529,0.318,293,474,0.618,204,868,339,209,73,396,548
Appalachian State,30,9,21,0.3,-8.67,-1.6,4,14,8,6,1,14,2208,2279,1205,749,1781,0.421,251,742,0.338,459,674,0.681,339,1126,414,167,91,414,641
Arizona State,33,15,18,0.455,4.02,7.11,7,11,9,7,4,6,2593,2695,1325,888,2047,0.434,328,896,0.366,489,653,0.749,304,1075,430,194,106,344,556
Arizona,37,32,5,0.865,18.25,7.63,16,2,15,1,9,1,2833,2440,1480,977,2048,0.477,244,625,0.39,635,830,0.765,380,1358,501,201,119,413,625
Arkansas-Little Rock,32,15,17,0.469,-6.07,-3.8,6,12,9,6,4,9,2188,2185,1290,775,1749,0.443,207,599,0.346,431,582,0.741,305,1058,379,183,120,412,591
Arkansas-Pine Bluff,32,7,25,0.219,-22.81,-10.28,6,12,6,6,1,19,1977,2320,1305,695,1725,0.403,208,621,0.335,379,581,0.652,335,1013,334,279,93,578,718
Arkansas State,32,20,12,0.625,0.87,-2.1,11,7,12,1,7,9,2346,2211,1285,826,1792,0.461,220,579,0.38,474,743,0.638,352,1169,397,172,83,414,652
Arkansas  ,36,26,10,0.722,14.04,8.6,12,6,15,3,6,5,2855,2659,1440,997,2165,0.461,233,638,0.365,628,825,0.761,401,1298,497,278,170,428,739
Army,32,13,19,0.406,-5.84,-4.1,6,12,9,8,4,10,2324,2340,1295,842,1906,0.442,291,825,0.353,349,533,0.655,317,1213,520,178,61,483,620
Auburn,32,18,14,0.563,8.17,7.33,7,11,10,5,6,6,2573,2546,1290,861,1969,0.437,289,789,0.366,562,836,0.672,369,1171,416,234,162,434,668
Austin Peay,30,11,19,0.367,-11,-2.32,7,9,5,8,4,11,2331,2515,1215,806,1718,0.469,227,640,0.355,492,695,0.708,245,913,324,171,73,373,547
Ball State,34,21,13,0.618,-1.45,-3.57,11,7,11,5,7,7,2677,2567,1380,929,2014,0.461,319,841,0.379,500,696,0.718,335,1281,529,203,118,496,658
Baylor  ,35,27,8,0.771,19.75,11.87,12,6,15,2,6,4,2550,2228,1400,921,1956,0.471,230,641,0.359,478,661,0.723,451,1329,544,180,166,469,617
Belmont,30,23,7,0.767,4.28,-1.69,15,1,12,1,11,4,2302,2078,1205,798,1703,0.469,306,895,0.342,400,521,0.768,254,1057,481,131,80,380,531
Bethune-Cookman,32,10,22,0.313,-19.44,-11.21,6,10,7,7,2,13,2275,2490,1315,840,2022,0.415,228,712,0.32,367,554,0.662,397,1135,448,245,96,413,644
Binghamton,32,12,20,0.375,-11.99,-5.79,3,13,7,7,4,13,2175,2270,1285,768,1757,0.437,248,685,0.362,391,555,0.705,251,1055,410,167,78,397,545
Boise State,32,20,12,0.625,5.52,2.72,12,6,11,3,8,7,2404,2278,1280,811,1802,0.45,253,726,0.348,529,743,0.712,309,1139,387,158,77,409,662
Boston College,32,9,23,0.281,2.2,8.08,2,16,8,10,0,9,2320,2508,1280,843,1880,0.448,256,685,0.374,378,556,0.68,292,1119,473,179,87,467,597
Boston University,32,18,14,0.563,-2.43,-3.66,12,6,11,5,6,9,2339,2264,1300,817,1844,0.443,274,773,0.354,431,619,0.696,311,1141,449,265,81,444,610
Bowling Green State,32,13,19,0.406,-6,-2,7,11,10,7,3,12,2355,2453,1295,832,1957,0.425,220,644,0.342,471,706,0.667,353,1153,390,221,87,408,623
Bradley,33,13,20,0.394,-2.84,2.94,7,11,8,7,3,10,2163,2333,1325,731,1722,0.425,217,609,0.356,484,719,0.673,297,1156,372,203,118,499,672
Brigham Young,34,22,12,0.647,8.22,1.87,12,6,14,4,5,4,2741,2525,1360,937,2057,0.456,230,668,0.344,637,869,0.733,363,1418,534,224,156,469,657
Brown,30,13,17,0.433,-8.55,-4.08,4,10,9,7,4,8,2275,2338,1200,735,1660,0.443,244,665,0.367,561,739,0.759,275,933,399,228,56,430,597
Bryant,32,12,20,0.375,-9.69,-5.43,9,9,9,5,2,15,2373,2478,1315,839,1917,0.438,237,701,0.338,458,636,0.72,345,1148,460,218,69,428,680
Bucknell  ,35,26,9,0.743,5.89,-2.48,15,3,14,2,9,6,2669,2376,1400,942,1961,0.48,286,754,0.379,497,730,0.681,302,1203,510,252,134,466,655
Buffalo,32,17,15,0.531,0.92,-1.01,11,7,8,4,8,7,2486,2375,1285,877,1945,0.451,240,727,0.33,492,711,0.692,385,1295,459,181,127,453,735
Butler  ,34,25,9,0.735,17.7,10.23,12,6,13,3,7,4,2595,2341,1370,906,1898,0.477,261,714,0.366,522,704,0.741,287,1091,453,206,96,346,640
Cal Poly,31,11,20,0.355,-10.71,-4.22,6,10,6,6,5,11,2082,2242,1250,726,1800,0.403,258,758,0.34,372,534,0.697,300,1003,322,162,113,333,574
Cal State Bakersfield,35,25,10,0.714,3.21,-1.94,12,2,12,1,11,6,2502,2235,1425,895,2035,0.44,229,652,0.351,483,755,0.64,433,1349,507,286,137,519,794
Cal State Fullerton,32,17,15,0.531,-7.55,-6.85,10,6,12,4,4,8,2351,2280,1315,821,1850,0.444,196,631,0.311,513,747,0.687,341,1196,387,223,117,465,666
