Games 1,PPG 1,OPP PPG 1,Win % 1,FTPG 1,FT% 1,FGPG 1,FG% 1,3FGPG 1,3FG% 1,APG 1,TOPG 1,RPG 1,OPP RPG 1,STPG 1,PFPG 1,Games 2,PPG 2,OPP PPG 2,Win % 2,FTPG 2,FT% 2,FGPG 2,FG% 2,3FGPG 2,3FG% 2,APG 2,TOPG 2,RPG 2,OPP RPG 2,STPG 2,PFPG 2,Score 1
32,73.6,66.7,65.6,20.6,72.6,57.8,43.8,22.1,36.5,14.9,12.2,34.9,34.3,7.8,19.4,32,66.8,64.5,56.3,18.6,71.6,55.1,43.7,15,34.9,12.3,13.3,34.3,33.5,7.3,20.6,80
32,66.8,64.5,56.3,18.6,71.6,55.1,43.7,15,34.9,12.3,13.3,34.3,33.5,7.3,20.6,32,73.6,66.7,65.6,20.6,72.6,57.8,43.8,22.1,36.5,14.9,12.2,34.9,34.3,7.8,19.4,77
33,70.4,62.9,63.6,24,72.6,56.5,42.2,17.5,30,15.2,12.8,39.4,34.8,6.9,17.1,32,74.4,66,56.3,20.7,68.4,59.2,45,20.2,34.5,15,12.2,37.7,35.1,6.6,16.9,54
32,74.4,66,56.3,20.7,68.4,59.2,45,20.2,34.5,15,12.2,37.7,35.1,6.6,16.9,33,70.4,62.9,63.6,24,72.6,56.5,42.2,17.5,30,15.2,12.8,39.4,34.8,6.9,17.1,74
34,73.6,58,85.3,22.5,71.1,58.1,44.5,17.6,33.1,15,12.7,37.5,33.9,10.7,17.7,32,78.3,65.4,84.4,21.7,73.2,57.4,47.6,19.1,40.6,14.7,10.7,33.8,35,6.5,17.7,85
32,78.3,65.4,84.4,21.7,73.2,57.4,47.6,19.1,40.6,14.7,10.7,33.8,35,6.5,17.7,34,73.6,58,85.3,22.5,71.1,58.1,44.5,17.6,33.1,15,12.7,37.5,33.9,10.7,17.7,63
33,75.2,62.9,78.8,16.6,70.7,57.8,48.4,19.5,38.3,14.3,9.2,35.1,32.2,6,13,33,71.6,53.7,78.8,15.9,68.1,54.5,48.1,22.1,38,14.8,11.1,35.1,30.3,7,14.1,79
33,71.6,53.7,78.8,15.9,68.1,54.5,48.1,22.1,38,14.8,11.1,35.1,30.3,7,14.1,33,75.2,62.9,78.8,16.6,70.7,57.8,48.4,19.5,38.3,14.3,9.2,35.1,32.2,6,13,59
32,68.1,64.6,56.3,17.3,73.7,56.7,43.6,15.8,36.6,15.8,11.3,33.1,33.9,5.9,17.8,30,77,72.5,60,22,71.7,59,45,23.1,35.2,17.4,12.7,35.7,37.9,7.9,18,58
30,77,72.5,60,22,71.7,59,45,23.1,35.2,17.4,12.7,35.7,37.9,7.9,18,32,68.1,64.6,56.3,17.3,73.7,56.7,43.6,15.8,36.6,15.8,11.3,33.1,33.9,5.9,17.8,81
35,71.3,60.1,74.3,20.6,67.5,58.4,44,18.1,33.4,14.5,12.6,38.7,34.6,8.9,16.2,31,69,62.7,74.2,21.7,72.3,52.5,46.7,0,0,14.4,13.6,35,30.6,6.7,17,55
31,69,62.7,74.2,21.7,72.3,52.5,46.7,0,0,14.4,13.6,35,30.6,6.7,17,35,71.3,60.1,74.3,20.6,67.5,58.4,44,18.1,33.4,14.5,12.6,38.7,34.6,8.9,16.2,39
32,75.7,61.5,81.3,21.1,72.3,52.8,50.5,16.7,41.9,13.6,12.6,36.1,29.6,5.3,17.1,32,66.1,61.8,56.3,16.8,76.5,51.6,44.1,21.4,36.3,12.4,12.4,32.1,31.7,6.3,14.8,59
32,66.1,61.8,56.3,16.8,76.5,51.6,44.1,21.4,36.3,12.4,12.4,32.1,31.7,6.3,14.8,32,75.7,61.5,81.3,21.1,72.3,52.8,50.5,16.7,41.9,13.6,12.6,36.1,29.6,5.3,17.1,56
34,69.4,60.7,76.5,19.9,68.8,55.5,44.3,19.6,33.7,13.8,12.8,38.4,30,7.5,17.7,33,69.2,57.9,78.8,18.9,69.3,55.2,45.4,17.2,35.1,13.3,10.6,35.5,31.8,6.8,15.5,70
33,69.2,57.9,78.8,18.9,69.3,55.2,45.4,17.2,35.1,13.3,10.6,35.5,31.8,6.8,15.5,34,69.4,60.7,76.5,19.9,68.8,55.5,44.3,19.6,33.7,13.8,12.8,38.4,30,7.5,17.7,66
32,69.7,68.5,62.5,20.6,75.5,52.8,44.6,18.9,37.3,13.9,12.9,30.1,32.8,8,15.3,33,63.1,59,63.6,18.2,69.2,52.3,43,16.4,34.1,10.6,12.5,32.6,33.5,8.4,17.5,43
33,63.1,59,63.6,18.2,69.2,52.3,43,16.4,34.1,10.6,12.5,32.6,33.5,8.4,17.5,32,69.7,68.5,62.5,20.6,75.5,52.8,44.6,18.9,37.3,13.9,12.9,30.1,32.8,8,15.3,62
33,67.6,66.5,54.5,19.3,67.8,56.5,43.6,15.3,34.2,11.7,13.3,36.5,32.1,5.2,17.2,32,76.5,69.2,65.6,21.6,72.1,60.4,45.8,16.8,33.5,15.6,12.2,38.3,35,8.5,18.8,79
32,76.5,69.2,65.6,21.6,72.1,60.4,45.8,16.8,33.5,15.6,12.2,38.3,35,8.5,18.8,33,67.6,66.5,54.5,19.3,67.8,56.5,43.6,15.3,34.2,11.7,13.3,36.5,32.1,5.2,17.2,90
32,66.8,64.5,56.3,18.6,71.6,55.1,43.7,15,34.9,12.3,13.3,34.3,33.5,7.3,20.6,34,65.3,61.7,70.6,20,67.8,52.1,44,17.1,34.4,11.2,13.4,37.6,31.9,4.4,14.4,78
34,65.3,61.7,70.6,20,67.8,52.1,44,17.1,34.4,11.2,13.4,37.6,31.9,4.4,14.4,32,66.8,64.5,56.3,18.6,71.6,55.1,43.7,15,34.9,12.3,13.3,34.3,33.5,7.3,20.6,77
33,72.9,64.6,72.7,17.9,69.7,56.2,46.7,22.8,34.8,17.7,12.6,31.1,35.8,9.1,19.6,30,65.4,55.7,70,14.6,73.8,48.3,48.1,21.5,38,16.4,11.1,25,30.9,9,17.5,57
30,65.4,55.7,70,14.6,73.8,48.3,48.1,21.5,38,16.4,11.1,25,30.9,9,17.5,33,72.9,64.6,72.7,17.9,69.7,56.2,46.7,22.8,34.8,17.7,12.6,31.1,35.8,9.1,19.6,61
33,56.5,55.2,57.6,18.2,62.2,49.4,41.9,0,0,10,17.4,33.8,31.8,9,18.5,30,77,72.5,60,22,71.7,59,45,23.1,35.2,17.4,12.7,35.7,37.9,7.9,18,65
30,77,72.5,60,22,71.7,59,45,23.1,35.2,17.4,12.7,35.7,37.9,7.9,18,33,56.5,55.2,57.6,18.2,62.2,49.4,41.9,0,0,10,17.4,33.8,31.8,9,18.5,66
32,71.5,69.5,56.3,22.9,74.5,54.7,44.1,18.1,34.4,13.1,15.3,36.1,33.3,7.1,19.2,32,68.1,64.6,56.3,17.3,73.7,56.7,43.6,15.8,36.6,15.8,11.3,33.1,33.9,5.9,17.8,72
32,68.1,64.6,56.3,17.3,73.7,56.7,43.6,15.8,36.6,15.8,11.3,33.1,33.9,5.9,17.8,32,71.5,69.5,56.3,22.9,74.5,54.7,44.1,18.1,34.4,13.1,15.3,36.1,33.3,7.1,19.2,84
32,73.3,63.2,81.3,21.4,69.8,61.8,41,23.4,32.8,13.6,12.2,38.5,38.4,9.1,18.4,33,67,68.4,54.5,21,73.2,51.8,44.3,16.6,34.6,11.4,14.5,31,33.5,6.3,17.7,71
33,67,68.4,54.5,21,73.2,51.8,44.3,16.6,34.6,11.4,14.5,31,33.5,6.3,17.7,32,73.3,63.2,81.3,21.4,69.8,61.8,41,23.4,32.8,13.6,12.2,38.5,38.4,9.1,18.4,66
33,74.1,65.3,72.7,18.3,78.6,54.8,46.7,24.6,35,15,11.6,27.6,32.9,8.8,19.3,33,65.9,60.5,63.6,19.2,71.6,54.9,42.3,17.1,33,12.8,13.2,35.4,32.2,7.8,17.1,69
33,65.9,60.5,63.6,19.2,71.6,54.9,42.3,17.1,33,12.8,13.2,35.4,32.2,7.8,17.1,33,74.1,65.3,72.7,18.3,78.6,54.8,46.7,24.6,35,15,11.6,27.6,32.9,8.8,19.3,62
32,64,63.1,56.3,20.1,67.2,51,43.5,17.6,34.4,10.2,15.3,33.8,33.5,6.6,18.3,30,60.3,61.2,56.7,15.8,69.3,50.9,40.9,22.9,34,12.4,14.2,29.8,33.9,8.2,18.9,63
30,60.3,61.2,56.7,15.8,69.3,50.9,40.9,22.9,34,12.4,14.2,29.8,33.9,8.2,18.9,32,64,63.1,56.3,20.1,67.2,51,43.5,17.6,34.4,10.2,15.3,33.8,33.5,6.6,18.3,54
35,62.2,61.1,54.3,22.3,65.8,52.4,39.9,19.2,29.9,11.1,15.1,35.4,36.8,7.1,19.4,35,69.1,69.9,42.9,21.5,72.6,54.3,42.9,18.5,37.3,12.2,13.4,35.7,36.3,5.5,19.1,73
35,69.1,69.9,42.9,21.5,72.6,54.3,42.9,18.5,37.3,12.2,13.4,35.7,36.3,5.5,19.1,35,62.2,61.1,54.3,22.3,65.8,52.4,39.9,19.2,29.9,11.1,15.1,35.4,36.8,7.1,19.4,72
29,68,64.3,58.6,14.7,72.7,54.8,44.9,21.7,37.4,13.6,12.4,32.2,35,7.4,16.8,32,66.9,63.4,65.6,22.4,68.3,54.9,43.2,0,0,12,11.8,34.4,33.8,7.3,18.4,63
32,66.9,63.4,65.6,22.4,68.3,54.9,43.2,0,0,12,11.8,34.4,33.8,7.3,18.4,29,68,64.3,58.6,14.7,72.7,54.8,44.9,21.7,37.4,13.6,12.4,32.2,35,7.4,16.8,70
32,73.9,71.7,59.4,22.9,68.8,59.9,42.5,22.3,32.7,13,11.5,35.4,37.1,8.1,19.9,34,71.2,64.2,64.7,19.6,67.7,56.3,46.3,17.2,33.6,14.9,14.8,40.8,31.9,5,16.7,70
34,71.2,64.2,64.7,19.6,67.7,56.3,46.3,17.2,33.6,14.9,14.8,40.8,31.9,5,16.7,32,73.9,71.7,59.4,22.9,68.8,59.9,42.5,22.3,32.7,13,11.5,35.4,37.1,8.1,19.9,86
33,75.5,63.5,81.8,20.4,72.6,55.6,47.4,21.2,37.5,14.7,12,37.1,28.4,6.3,17.5,33,71.2,57.8,84.8,22.8,69.3,54,46.3,14.2,37.8,14.2,13.8,36.8,30.8,7.1,20.6,67
33,71.2,57.8,84.8,22.8,69.3,54,46.3,14.2,37.8,14.2,13.8,36.8,30.8,7.1,20.6,33,75.5,63.5,81.8,20.4,72.6,55.6,47.4,21.2,37.5,14.7,12,37.1,28.4,6.3,17.5,54
32,73.1,64.6,65.6,23.1,64,55.5,47.4,16.3,34.9,13.6,13,38.3,34,5.8,17.2,33,71.3,65.6,69.7,20.6,74.4,55.1,43,22.6,38,14.1,12.9,32.2,33.4,9.1,19.3,57
33,71.3,65.6,69.7,20.6,74.4,55.1,43,22.6,38,14.1,12.9,32.2,33.4,9.1,19.3,32,73.1,64.6,65.6,23.1,64,55.5,47.4,16.3,34.9,13.6,13,38.3,34,5.8,17.2,59
31,65.3,66.3,51.6,18,64,60.2,41.6,0,0,12.3,11.5,36.6,40.4,6.6,16.5,31,67.4,63.9,58.1,19.4,69.8,53.1,44,21.1,33.8,14.1,11.9,34.8,34.6,5.2,13.2,63
31,67.4,63.9,58.1,19.4,69.8,53.1,44,21.1,33.8,14.1,11.9,34.8,34.6,5.2,13.2,31,65.3,66.3,51.6,18,64,60.2,41.6,0,0,12.3,11.5,36.6,40.4,6.6,16.5,61
