Team,Opponent,Result,Score
Johnson & Wales,@ Air Force,L,105-62
Dayton,@ Alabama,W,77-72
Cal State Bakersfield,@ Arizona (10),L,78-66
Mt. St. Mary (NY),@ Army,L,91-53
Oregon (4),@ Baylor,L,66-49
Maryland-Eastern Shore,@ Boston College,L,73-57
Salve Regina,@ Bryant,L,88-61
Bridgewater (VA),@ Campbell,L,101-45
Columbia International,@ Charleston Southern,L,90-53
Truett-McConnell,@ Citadel,L,119-90
Canisius,@ Cleveland State,L,67-64
Wisconsin (9),@ Creighton (22),L,79-67
Fairfield,@ Dartmouth,W,79-62
Rochester (MI),@ Eastern Michigan,L,78-63
Fairleigh Dickinson-Florham,@ Fairleigh Dickinson,L,96-48
Trinity Baptist,@ Florida A&M,L,94-62
Iona,@ Florida State,L,99-78
Lebanon Valley,@ George Mason,L,90-65
Siena,@ George Washington,L,77-75
Maryland,@ Georgetown,W,76-75
McKendree,@ Illinois,L,112-65
St. Edward's,@ Incarnate Word,L,93-90
Duke (1),@ Kansas (7),L,77-75
Nebraska-Omaha,@ Kansas State,L,81-68
Delaware,@ La Salle,L,74-68
VCU,@ Liberty,W,64-59
Piedmont,@ Lipscomb,L,99-70
Southern Miss,@ LSU,L,78-61
Winthrop,@ Manhattan,W,94-81
Louisiana College,@ McNeese State,W,85-75
Kentucky (2),@ Michigan State (13),W,69-48
Murray State,@ Middle Tennessee,L,87-81
Drake,@ UMKC,L,68-62
Towson,@ Morgan State,W,78-72
Mary,@ Nebraska,L,70-38
Elizabeth City State,@ Norfolk State,L,91-55
Long Beach State,@ UNC (5),L,93-67
Mayville State,@ North Dakota,L,94-66
Grand Canyon,@ Penn State,L,85-76
Weber State,@ Pepperdine,L,69-68
Hofstra,@ Sacred Heart,L,90-86
Portland,@ San Jose State,W,79-66
Cal State Northridge,@ Stanford,L,96-69
Longwood,@ Stephen F. Austin,L,66-60
Holy Cross,@ Syracuse (18),L,90-46
Appalachian State,@ Tennessee,L,103-94
Cumberland,@ UT-Martin,L,95-64
North Texas,@ Texas Tech,L,70-43
Concordia (OR),@ Utah,L,96-53
Belmont,@ Vanderbilt,L,80-66
St. Francis (NY),@ Virginia (8),L,72-32
Southern Virginia,@ Virginia Military Institute,L,78-47
High Point,@ Virginia Tech,L,99-73
Central Washington,@ Washington State,L,81-76
Allen,@ Wofford,L,117-77
Miami (OH),@ Wright State,L,89-87
