Team,Opponent,Result,Score
Dayton ,Boise State ,W,56-55
Dartmouth,Canisius,L,87-72
Gardner-Webb,Colorado,L,87-78
South Dakota State,Colorado State,W,86-76
Arizona State,UConn,W,68-61
Radford,Delaware State,W,78-57
IPFW,Evansville,L,82-77
Texas A&M-Corpus Christi,Florida Gulf Coast,W,75-69
Northern Arizona,Grand Canyon,W,75-70
Maryland-Eastern Shore,High Point,L,70-64
Vermont,Hofstra,W,85-81
Green Bay,Illinois State,L,69-56
Eastern Michigan,Louisiana-Monroe,L,71-67
Stony Brook,Mercer,L,72-70
Kent State,Middle Tennessee,W,68-56
Robert Morris ,North Florida ,W,81-77
Charleston Southern,Old Dominion,L,65-56
UCSB,Oral Roberts,L,91-87
Sacramento State,Portland,W,73-66
St. Francis (NY),Richmond,L,84-74
Vanderbilt,Saint Mary's (CA),W,75-64
North Carolina-Wilmington,Sam Houston State,L,87-71
Pepperdine,Seattle,L,62-45
Bucknell,Temple,L,73-67
Cleveland State,Western Michigan,W,86-57
