Team1,Team2,Score1,Score2
Oklahoma,Albany,60,69
Virginia,Belmont,67,79
West Virginia,Buffalo,62,68
Louisville,UC-Irvine,55,57
Wisconsin,Coastal Carolina,72,86
Iowa,Davidson,52,83
Providence,Dayton,66,53
Robert Morris,Duke,85,56
High Point,Eastern Kentucky,66,65
Michigan St.,Georgia,63,70
North Dakota St.,Gonzaga,86,76
Wichita St.,Indiana,76,81
New Mexico St.,Kansas,75,56
Valparaiso,Maryland,65,62
Wyoming,Northern Iowa,71,54
Oregon,Oklahoma St.,73,79
St. John's,San Diego St.,76,64
South Dakota St.,Vanderbilt,92,77
