Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FTPG,FT%,FGA,FGPG,FG%,3FGA,3FGPG,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
A&M-Corpus Christi,1,26,1901,73.1,1840,70.8,2.3,57.7,404,568,21.8,71.1,1482,57,46.5,0,0,0,0,411,15.8,448,17.2,969,37.3,790,30.4,6.9,0,189,7.3,464,17.8
Air Force,3,28,1685,60.2,1412,50.4,9.8,78.6,312,440,15.7,70.9,1177,42,48.3,622,22.2,0,38.1,371,13.3,302,10.8,602,21.5,779,27.8,-6.3,0,218,7.8,466,16.6
Akron,4,28,2009,71.8,2020,72.1,-0.4,46.4,444,688,24.6,64.5,1492,53.3,46.6,477,17.0,0,36.3,423,15.1,410,14.6,940,33.6,993,35.5,-1.9,0,207,7.4,544,19.4
Alabama,5,29,2094,72.2,1956,67.4,4.8,58.6,443,634,21.9,69.9,1594,55,45.3,540,18.6,0,38.3,344,11.9,385,13.3,1024,35.3,975,33.6,1.7,0,187,6.4,535,18.4
Alabama A&M,6,27,1886,69.9,1996,73.9,-4.1,43.3,404,593,22,68.1,1615,59.8,40.5,543,20.1,0,32,342,12.7,436,16.1,999,37,1040,38.5,-1.5,0,201,7.4,581,21.5
Alabama St.,7,26,1588,61.1,1564,60.2,0.9,53.3,365,570,21.9,64,1279,49.2,42.1,430,16.5,0,34.2,265,10.2,438,16.8,895,34.4,827,31.8,2.6,0,187,7.2,488,18.8
Albany (NY),8,28,1621,57.9,1841,65.8,-7.9,17.9,290,393,14,73.8,1493,53.3,40.1,0,0.0,0,0,314,11.2,441,15.8,916,32.7,1024,36.6,-3.9,0,188,6.7,474,16.9
Alcorn,9,26,1630,62.7,1879,72.3,-9.6,37.9,354,526,20.2,67.3,1364,52.5,41.7,407,15.7,0,33.9,281,10.8,503,19.3,858,33,881,33.9,-0.9,0,155,6,498,19.2
American,10,31,2092,67.5,2016,65,2.5,58.1,434,642,20.7,67.6,1643,53,44.2,560,18.1,0,36.8,411,13.3,441,14.2,1067,34.4,981,31.6,2.8,0,240,7.7,564,18.2
Appalachian St.,11,30,2091,69.7,2170,72.3,-2.6,30,355,554,18.5,64.1,1874,62.5,40.9,626,20.9,0,32.6,437,14.6,494,16.5,1047,34.9,1178,39.3,-4.4,0,324,10.8,609,20.3
Arizona,12,29,2538,87.5,2274,78.4,9.1,69,496,631,21.8,78.6,1885,65,48.5,557,19.2,0,38.4,548,18.9,434,15.0,1148,39.6,1022,35.2,4.3,0,202,7,468,16.1
Arizona St.,13,27,2000,74.1,2068,76.6,-2.5,37,547,744,27.6,73.5,1498,55.5,43.1,478,17.7,0,33.7,426,15.8,408,15.1,961,35.6,963,35.7,-0.1,0,150,5.6,567,21
Ark.-Pine Bluff,14,27,1410,52.2,2008,74.4,-22.1,3.7,252,395,14.6,63.8,1485,55,34.4,487,18.0,0,27.9,269,10.0,518,19.2,936,34.7,1177,43.6,-8.9,0,149,5.5,568,21
Arkansas,15,28,1928,68.9,1921,68.6,0.3,42.9,392,577,20.6,67.9,1629,58.2,41.6,573,20.5,0,31.4,363,13.0,386,13.8,967,34.5,1028,36.7,-2.2,0,220,7.9,555,19.8
