,Team name,Team ID,Win %,Pts, PPG,OPP PTS,OPP PPG,SCR MAR,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,OPP 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
0,A&M-Corpus Christi,1,20,1755,58.5,2030,67.7,-9.2,360,600,60,1584,39.6,,,34.9,347,11.6,456,15.2,1015,33.8,1112,37.1,-3.2,,171,5.7,592,19.7
1,Abilene Christian,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Air Force,3,44.8,1786,61.6,1798,62,-0.4,362,537,67.4,1383,44.5,569,33.7,32,403,13.9,371,12.8,835,28.8,993,34.2,-5.4,,194,6.7,491,16.9
3,Akron,4,66.7,2382,72.2,2165,65.6,6.6,505,730,69.2,1812,46.2,540,37.2,29.7,455,13.8,468,14.2,1168,35.4,1102,33.4,2,,243,7.4,603,18.3
4,Alabama,5,65.6,2078,64.9,1860,58.1,6.8,437,611,71.5,1674,45.2,,,28.3,393,12.3,414,12.9,1126,35.2,1041,32.5,2.7,,234,7.3,589,18.4
5,Alabama A&M,6,25,1764,63,1964,70.1,-7.1,359,555,64.7,1538,40.9,469,31.3,35,314,11.2,463,16.5,966,34.5,1018,36.4,-1.9,,178,6.4,617,22
6,Alabama St.,7,38.7,1840,59.4,1995,64.4,-5,354,606,58.4,1714,37.8,621,30.6,30,357,11.5,470,15.2,1102,35.5,1155,37.3,-1.7,,236,7.6,613,19.8
7,Albany (NY),8,57.6,2374,71.9,2262,68.5,3.4,509,675,75.4,1832,44.5,649,35.9,37.3,406,12.3,413,12.5,1148,34.8,1074,32.5,2.2,,182,5.5,560,17
8,Alcorn,9,31.3,2002,62.6,2187,68.3,-5.8,434,624,69.6,1710,41.6,,,32.7,292,9.1,486,15.2,982,30.7,1162,36.3,-5.6,,203,6.3,621,19.4
9,American,10,64.5,1998,64.5,1913,61.7,2.7,400,558,71.7,1609,42.8,549,40.1,30.6,391,12.6,345,11.1,1003,32.4,1050,33.9,-1.5,,142,4.6,533,17.2
10,Appalachian St.,11,41.9,2121,68.4,2175,70.2,-1.7,426,656,64.9,1693,44.1,591,34.3,31.3,379,12.2,444,14.3,1093,35.3,1097,35.4,-0.1,,187,6,609,19.6
11,Arizona,12,67.6,2362,69.5,2131,62.7,6.8,554,788,70.3,1764,44.1,663,38,28.1,460,13.5,424,12.5,1209,35.6,1137,33.4,2.1,,191,5.6,571,16.8
12,Arizona St.,13,32.3,1891,61,2056,66.3,-5.3,402,594,67.7,1439,45.4,497,36.4,36.8,377,12.2,505,16.3,975,31.5,929,30,1.5,,173,5.6,548,17.7
13,Ark.-Pine Bluff,14,33.3,2013,61,2291,69.4,-8.4,458,719,63.7,1707,41.3,,,37.3,367,11.1,491,14.9,1105,33.5,1194,36.2,-2.7,,230,7,601,18.2
14,Arkansas,15,56.3,2299,71.8,2231,69.7,2.1,478,692,69.1,1860,43.4,580,35.3,32.5,436,13.6,415,13,1082,33.8,1204,37.6,-3.8,,265,8.3,618,19.3
15,Arkansas St.,16,41.2,2198,64.6,2239,65.9,-1.2,492,737,66.8,1771,43.2,476,37,39.2,329,9.7,460,13.5,1154,33.9,1068,31.4,2.5,,210,6.2,533,15.7
16,Army West Point,17,40,2027,67.6,2091,69.7,-2.1,433,596,72.7,1608,42.2,671,35.5,34,403,13.4,467,15.6,957,31.9,1077,35.9,-4,,185,6.2,581,19.4
