,Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FTPG,FT%,FGA,FGPG,FG%,3FGA,3FGPG,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
0,A&M-Corpus Christi,1,29,1746,60.2,1962,67.7,-7.4,20.7,340,500,17.2,68,1560,53.8,40.6,nan,0,nan,35.6,316,10.9,351,12.1,921,31.8,1028,35.4,-3.7,#N/A,184,6.3,568,19.6
1,Abilene Christian,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,nan,0,nan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,Air Force,3,30,2115,70.5,2027,67.6,2.9,56.7,362,506,16.9,71.5,1580,52.7,47.5,663,22.1,38.2,31.9,477,15.9,354,11.8,900,30,989,33,-3,#N/A,196,6.5,524,17.5
3,Akron,4,32,2327,72.7,1983,62,10.8,81.3,425,659,20.6,64.5,1831,57.2,45.7,676,21.1,33.7,31.8,480,15,436,13.6,1215,38,1023,32,6,#N/A,229,7.2,565,17.7
4,Alabama,5,33,2083,63.1,1947,59,4.1,63.6,416,601,18.2,69.2,1725,52.3,43,542,16.4,34.1,30.2,350,10.6,413,12.5,1075,32.6,1106,33.5,-0.9,#N/A,276,8.4,578,17.5
5,Alabama A&M,6,31,1957,63.1,2160,69.7,-6.5,35.5,410,651,21.0,63,1746,56.3,39.9,528,17.0,29.4,35,367,11.8,444,14.3,1115,36,1124,36.3,-0.3,#N/A,182,5.9,550,17.7
6,Alabama St.,7,32,1979,61.8,2231,69.7,-7.9,31.3,343,575,18.0,59.7,1801,56.3,40.8,557,17.4,30.2,34.7,371,11.6,479,15,1140,35.6,1176,36.8,-1.1,#N/A,202,6.3,598,18.7
7,Albany (NY),8,34,2190,64.4,2050,60.3,4.1,70.6,502,684,20.1,73.4,1696,49.9,43.8,560,16.5,36.4,33.1,380,11.2,455,13.4,1142,33.6,1041,30.6,3,#N/A,185,5.4,545,16
8,Alcorn,9,34,2055,60.4,2248,66.1,-5.7,29.4,438,705,20.7,62.1,1888,55.5,38.5,nan,0.0,nan,31,308,9.1,512,15.1,1107,32.6,1236,36.4,-3.8,#N/A,221,6.5,677,19.9
9,American,10,30,1735,57.8,1916,63.9,-6,33.3,326,460,15.3,70.9,1491,49.7,41.3,489,16.3,36.2,41.1,348,11.6,364,12.1,973,32.4,937,31.2,1.2,#N/A,101,3.4,431,14.4
10,Appalachian St.,11,31,2211,71.3,2221,71.6,-0.3,48.4,456,662,21.4,68.9,1781,57.5,43.6,560,18.1,35.9,32.9,356,11.5,420,13.5,1098,35.4,1084,35,0.5,#N/A,212,6.8,575,18.5
11,Arizona,12,32,2345,73.3,2038,63.7,9.6,78.1,498,666,20.8,74.8,1781,55.7,45,675,21.1,36.3,36,443,13.8,419,13.1,1160,36.3,968,30.3,6,#N/A,222,6.9,523,16.3
12,Arizona St.,13,33,2343,71,2206,66.8,4.2,63.6,409,647,19.6,63.2,1859,56.3,45.7,686,20.8,34.1,34.6,463,14,405,12.3,1183,35.8,1196,36.2,-0.4,#N/A,211,6.4,504,15.3
13,Ark.-Pine Bluff,14,30,1880,62.7,1998,66.6,-3.9,53.3,355,563,18.8,63.1,1707,56.9,40,526,17.5,30.2,31.7,382,12.7,433,14.4,1030,34.3,1140,38,-3.7,#N/A,297,9.9,533,17.8
14,Arkansas,15,32,2358,73.7,2203,68.8,4.8,59.4,462,687,21.5,67.2,1960,61.3,43.5,639,20.0,30,35.9,475,14.8,372,11.6,1120,35,1201,37.5,-2.5,#N/A,295,9.2,649,20.3
15,Arkansas St.,16,31,2127,68.6,1944,62.7,5.9,61.3,520,762,24.6,68.2,1737,56.0,40.6,633,20.4,31.1,32.8,324,10.5,408,13.2,1143,36.9,1091,35.2,1.7,#N/A,256,8.3,543,17.5
16,Army West Point,17,31,2245,72.4,2112,68.1,4.3,51.6,461,629,20.3,73.3,1721,55.5,44.6,675,21.8,37,35.1,442,14.3,437,14.1,1133,36.5,1040,33.5,3,#N/A,160,5.2,600,19.4
17,Auburn,18,32,2074,64.8,2201,68.8,-4,28.1,439,627,19.6,70,1777,55.5,40.9,589,18.4,31.1,34.5,396,12.4,427,13.3,1094,34.2,1126,35.2,-1,#N/A,222,6.9,657,20.5
18,Austin Peay,19,31,2218,71.5,2371,76.5,-4.9,25.8,426,633,20.4,67.3,1714,55.3,45.7,590,19.0,38.3,34.6,455,14.7,502,16.2,1053,34,1120,36.1,-2.2,#N/A,193,6.2,490,15.8
19,Ball St.,20,30,1957,65.2,2041,68,-2.8,50,468,718,23.9,65.2,1542,51.4,42.5,542,18.1,32.7,34.9,357,11.9,455,15.2,1068,35.6,951,31.7,3.9,#N/A,193,6.4,516,17.2
