,Team name,Team ID,GM,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG,,
0,A&M-Corpus Christi,1,32,2208,69,2152,67.3,1.8,53.1,506,759,66.7,1662,47.2,371,36,32.7,393,12.3,393,12.3,1082,33.8,1000,31.3,2.6,724,213,6.7,651,20.3,,
1,Abilene Christian,2,31,2214,71.4,2228,71.9,-0.5,35.5,499,666,74.9,1665,44.3,600,40,34.6,402,13.0,453,14.6,1010,32.6,1006,32.5,0.1,703,221,7.1,641,20.7,,
2,Air Force,3,30,1980,66,2074,69.1,-3.1,40,406,588,69,1561,43.5,653,33,32.8,419,14.0,400,13.3,971,32.4,1016,33.9,-1.5,708,164,5.5,563,18.8,,
3,Akron,4,33,2241,67.9,2177,66,1.9,63.6,453,733,61.8,1799,43.2,673,35,32.5,368,11.2,436,13.2,1154,35.0,1102,33.4,1.6,748,218,6.6,588,17.8,,
4,Alabama,5,32,2170,67.8,2150,67.2,0.6,40.6,505,737,68.5,1669,44.4,548,33,30.8,351,11.0,380,11.9,1050,32.8,1117,34.9,-2.1,730,218,6.8,607,19.0,,
5,Alabama A&M,6,30,1936,64.5,2005,66.8,-2.3,46.7,442,673,65.7,1602,40.9,561,32,32.9,380,12.7,397,13.2,1016,33.9,1148,38.3,-4.4,716,182,6.1,641,21.4,,
6,Alabama St.,7,31,2216,71.5,2154,69.5,2,61.3,492,728,67.6,1834,42.4,589,29,31,402,13.0,381,12.3,1124,36.3,1134,36.6,-0.3,708,208,6.7,561,18.1,,
7,Albany (NY),8,32,2113,66,2043,63.8,2.2,56.3,520,695,74.8,1635,43.9,431,36,35.2,354,11.1,404,12.6,1106,34.6,1009,31.5,3,775,177,5.5,552,17.3,,
8,Alcorn,9,31,1985,64,2101,67.8,-3.7,38.7,463,708,65.4,1658,41.8,449,30,34.3,286,9.2,356,11.5,958,30.9,1066,34.4,-3.5,656,184,5.9,577,18.6,,
9,American,10,32,2046,63.9,1876,58.6,5.3,62.5,369,520,71,1490,49.5,531,38,31.3,484,15.1,447,14.0,962,30.1,931,29.1,1,734,193,6.0,551,17.2,,
10,Appalachian St.,11,30,2034,67.8,2152,71.7,-3.9,30,445,697,63.8,1730,41.6,500,30,36.8,327,10.9,362,12.1,1091,36.4,1064,35.5,0.9,699,187,6.2,597,19.9,,
11,Arizona,12,34,2484,73.1,1977,58.1,14.9,88.2,520,794,65.5,1904,46.8,505,36,31.4,513,15.1,355,10.4,1322,38.9,1035,30.4,8.4,894,200,5.9,559,16.4,,
12,Arizona St.,13,32,2401,75,2204,68.9,6.2,65.6,523,754,69.4,1796,45,673,39,32.4,454,14.2,367,11.5,1140,35.6,1221,38.2,-2.5,870,165,5.2,617,19.3,,
13,Ark.-Pine Bluff,14,31,1957,63.1,2188,70.6,-7.5,41.9,446,675,66.1,1605,41.1,562,34,35.9,350,11.3,478,15.4,946,30.5,1082,34.9,-4.4,639,296,9.5,605,19.5,,
