,Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
0,A&M-Corpus Christi,1,31,2335,75.3,2252,72.6,2.7,64.5,504,696,72.4,1768,47.1,502,33.3,34.1,409,13.2,422,13.6,1053,34,1099,35.5,-1.5,732,280,9,614,19.8
1,Abilene Christian,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Air Force,3,33,2411,73.1,2477,75.1,-2,36.4,513,715,71.7,1876,43.6,728,36.3,36.4,494,15,396,12,1150,34.8,1135,34.4,0.5,840,197,6,594,18
3,Akron,4,34,2625,77.2,2390,70.3,6.9,76.5,470,691,68,1918,47.1,928,37.4,36,499,14.7,396,11.6,1173,34.5,1115,32.8,1.7,837,185,5.4,617,18.1
4,Alabama,5,33,2266,68.7,2129,64.5,4.2,57.6,480,739,65,1850,42.4,686,31.8,33.2,377,11.4,458,13.9,1293,39.2,1110,33.6,5.5,887,198,6,651,19.7
5,Alabama A&M,6,29,1790,61.7,2255,77.8,-16,6.9,409,614,66.6,1563,40.2,457,27.4,36.3,330,11.4,384,13.2,933,32.2,1078,37.2,-5,634,103,3.6,526,18.1
6,Alabama St.,7,31,2042,65.9,2305,74.4,-8.5,25.8,404,634,63.7,1834,39.2,674,29.7,34.3,300,9.7,488,15.7,1192,38.5,1173,37.8,0.6,765,150,4.8,630,20.3
7,Albany (NY),8,34,2441,71.8,2242,65.9,5.9,61.8,486,641,75.8,1895,46.8,495,37,34,430,12.6,404,11.9,1227,36.1,979,28.8,7.3,851,178,5.2,602,17.7
8,Alcorn,9,32,2221,69.4,2175,68,1.4,56.3,399,612,65.2,1866,42.9,669,33.2,30.6,425,13.3,452,14.1,1243,38.8,1173,36.7,2.2,856,209,6.5,610,19.1
9,American,10,30,1845,61.5,2049,68.3,-6.8,26.7,293,474,61.8,1542,44.9,529,31.8,36.8,339,11.3,396,13.2,868,28.9,996,33.2,-4.3,664,209,7,549,18.3
10,Appalachian St.,11,30,2208,73.6,2279,76,-2.4,30,459,674,68.1,1783,42,744,33.7,37.7,414,13.8,414,13.8,1126,37.5,1097,36.6,1,787,167,5.6,643,21.4
11,Arizona,12,34,2593,76.3,2225,65.4,10.8,88.2,582,768,75.8,1873,47.6,576,39.8,30.6,469,13.8,389,11.4,1250,36.8,1018,29.9,6.8,900,187,5.5,577,17
12,Arizona St.,13,33,2593,78.6,2695,81.7,-3.1,45.5,489,653,74.9,2047,43.4,896,36.6,36.4,430,13,344,10.4,1077,32.6,1311,39.7,-7.1,773,194,5.9,558,16.9
13,Ark.-Pine Bluff,14,32,1977,61.8,2320,72.5,-10.7,21.9,379,581,65.2,1725,40.3,621,33.5,31.8,334,10.4,578,18.1,1013,31.7,1153,36,-4.4,678,279,8.7,718,22.4
14,Arkansas,15,34,2713,79.8,2516,74,5.8,73.5,605,794,76.2,2046,46.1,610,36.4,33.2,479,14.1,399,11.7,1233,36.3,1229,36.1,0.1,848,256,7.5,700,20.6
15,Arkansas St.,16,32,2346,73.3,2211,69.1,4.2,62.5,474,743,63.8,1792,46.1,579,38,31.6,397,12.4,414,12.9,1166,36.4,1073,33.5,2.9,814,172,5.4,653,20.4
16,Army West Point,17,32,2324,72.6,2340,73.1,-0.5,40.6,349,533,65.5,1908,44.1,825,35.3,33,519,16.2,483,15.1,1213,37.9,1126,35.2,2.7,896,178,5.6,621,19.4
17,Auburn,18,32,2573,80.4,2546,79.6,0.8,56.3,562,836,67.2,1969,43.7,789,36.6,35.7,421,13.2,434,13.6,1171,36.6,1248,39,-2.4,802,236,7.4,672,21
18,Austin Peay,19,30,2331,77.7,2515,83.8,-6.1,36.7,492,695,70.8,1718,46.9,640,35.5,37,324,10.8,373,12.4,913,30.4,1122,37.4,-7,668,171,5.7,547,18.2
19,Ball St.,20,33,2597,78.7,2479,75.1,3.6,63.6,494,687,71.9,1945,46.2,805,37.9,35.7,515,15.6,486,14.7,1245,37.7,1181,35.8,1.9,916,198,6,644,19.5
20,Baylor,21,32,2327,72.7,2007,62.7,10,78.1,435,607,71.7,1778,47.1,601,35.9,31.6,502,15.7,429,13.4,1217,38,931,29.1,8.9,805,162,5.1,566,17.7
21,Belmont,22,28,2167,77.4,1938,69.2,8.2,78.6,386,502,76.9,1584,47.3,831,33.8,31.9,450,16.1,353,12.6,983,35.1,904,32.3,2.8,749,125,4.5,498,17.8
22,Bethune-Cookman,23,32,2275,71.1,2490,77.8,-6.7,31.3,367,554,66.2,2021,41.6,712,32,33.5,448,14,413,12.9,1134,35.4,1280,40,-4.6,737,245,7.7,645,20.2
23,Binghamton,24,32,2175,68,2270,70.9,-3,37.5,391,555,70.5,1757,43.7,685,36.2,36.1,410,12.8,397,12.4,1055,33,1117,34.9,-1.9,804,167,5.2,545,17
24,Boise St.,25,30,2275,75.8,2139,71.3,4.5,63.3,507,710,71.4,1685,45.2,685,35.6,33.6,374,12.5,384,12.8,1072,35.7,1006,33.5,2.2,782,148,4.9,628,20.9
25,Boston College,26,32,2320,72.5,2508,78.4,-5.9,28.1,378,556,68,1880,44.8,684,37.4,35.4,473,14.8,467,14.6,1117,34.9,1109,34.7,0.3,825,179,5.6,597,18.7
26,Boston U.,27,32,2339,73.1,2264,70.8,2.3,56.3,431,619,69.6,1844,44.3,773,35.4,36.3,449,14,459,14.3,1141,35.7,1138,35.6,0.1,820,265,8.3,610,19.1
27,Bowling Green,28,32,2355,73.6,2453,76.7,-3.1,40.6,471,706,66.7,1957,42.5,644,34.2,34.2,390,12.2,408,12.8,1153,36,1210,37.8,-1.8,800,220,6.9,623,19.5
