Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
A&M-Corpus Christi,1,26,1901,73.1,1840,70.8,2.3,57.7,404,568,71.1,1482,46.5,0,0,0,411,15.808,448,17.231,969,37.3,790,30.4,6.9,0,189,7.3,464,17.8
Air Force,3,28,1685,60.2,1412,50.4,9.8,78.6,312,440,70.9,1177,48.3,0,0,0,371,13.25,302,10.786,602,21.5,779,27.8,-6.3,0,218,7.8,466,16.6
Akron,4,28,2009,71.8,2020,72.1,-0.4,46.4,444,688,64.5,1492,46.6,0,0,0,423,15.107,410,14.643,940,33.6,993,35.5,-1.9,0,207,7.4,544,19.4
Alabama,5,29,2094,72.2,1956,67.4,4.8,58.6,443,634,69.9,1594,45.3,0,0,0,344,11.862,385,13.276,1024,35.3,975,33.6,1.7,0,187,6.4,535,18.4
Alabama A&M,6,27,1886,69.9,1996,73.9,-4.1,43.3,404,593,68.1,1615,40.5,0,0,0,342,12.667,436,16.148,999,37,1040,38.5,-1.5,0,201,7.4,581,21.5
Alabama St.,7,26,1588,61.1,1564,60.2,0.9,53.3,365,570,64,1279,42.1,0,0,0,265,10.192,438,16.846,895,34.4,827,31.8,2.6,0,187,7.2,488,18.8
Albany (NY),8,28,1621,57.9,1841,65.8,-7.9,17.9,290,393,73.8,1493,40.1,0,0,0,314,11.214,441,15.75,916,32.7,1024,36.6,-3.9,0,188,6.7,474,16.9
Alcorn,9,26,1630,62.7,1879,72.3,-9.6,37.9,354,526,67.3,1364,41.7,0,0,0,281,10.808,503,19.346,858,33,881,33.9,-0.9,0,155,6,498,19.2
American,10,31,2092,67.5,2016,65,2.5,58.1,434,642,67.6,1643,44.2,0,0,0,411,13.258,441,14.226,1067,34.4,981,31.6,2.8,0,240,7.7,564,18.2
Appalachian St.,11,30,2091,69.7,2170,72.3,-2.6,30,355,554,64.1,1874,40.9,0,0,0,437,14.567,494,16.467,1047,34.9,1178,39.3,-4.4,0,324,10.8,609,20.3
Arizona,12,29,2538,87.5,2274,78.4,9.1,69,496,631,78.6,1885,48.5,0,0,0,548,18.897,434,14.966,1148,39.6,1022,35.2,4.3,0,202,7,468,16.1
