Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG,,,
A&M-Corpus Christi,1,33,2255,68.3,2228,67.5,0.8,54.5,541,792,68.3,1826,42.1,0,0,31.5,418,12.667,564,17.091,1242,37.6,1117,33.8,3.8,0,281,8.5,638,19.3,,A&M-Corpus Christi,1
Air Force,3,31,1821,58.7,1936,62.5,-3.7,32.3,393,583,67.4,1389,44,0,0,35.1,378,12.194,407,13.129,879,28.4,951,30.7,-2.3,0,155,5,542,17.5,,Abilene Christian,2
Akron,4,35,2339,66.8,2094,59.8,7,65.7,487,687,70.9,1912,41.9,0,0,28.9,431,12.314,482,13.771,1173,33.5,1204,34.4,-0.9,0,270,7.7,722,20.6,,Air Force,3
Alabama,5,32,2349,73.4,2254,70.4,3,56.3,502,711,70.6,1913,44.2,0,0,31.2,357,11.156,464,14.5,1264,39.5,1185,37,2.5,0,235,7.3,546,17.1,,Akron,4
Alabama A&M,6,27,1761,65.2,1954,72.4,-7.1,29.6,424,638,66.5,1566,38.8,0,0,33.4,298,11.037,448,16.593,948,35.1,1113,41.2,-6.1,0,224,8.3,549,20.3,,Alabama,5
Alabama St.,7,31,2159,69.6,1967,63.5,6.2,71,384,603,63.7,1694,47.1,0,0,30.4,441,14.226,421,13.581,1103,35.6,1066,34.4,1.2,0,175,5.6,540,17.4,,Alabama A&M,6
Albany (NY),8,31,1984,64,2038,65.7,-1.7,48.4,424,590,71.9,1713,41.7,0,0,32.1,367,11.839,474,15.29,1206,38.9,937,30.2,8.7,0,160,5.2,626,20.2,,Alabama St.,7
Alcorn,9,31,2156,69.5,2588,83.5,-13.9,19.4,485,709,68.4,1901,39,0,0,34.1,309,9.9677,455,14.677,992,32,1322,42.6,-10.6,0,257,8.3,609,19.6,,Albany (NY),8
American,10,31,1998,64.5,1811,58.4,6,77.4,330,509,64.8,1552,46.6,0,0,33,405,13.065,410,13.226,1022,33,932,30.1,2.9,0,168,5.4,557,18,,Alcorn,9
Appalachian St.,11,31,2356,76,2381,76.8,-0.8,41.9,519,733,70.8,1768,45.2,0,0,35.1,407,13.129,542,17.484,1220,39.4,988,31.9,7.5,0,187,6,626,20.2,,American,10
Arizona,12,32,2310,72.2,2190,68.4,3.8,59.4,470,640,73.4,1730,47.5,0,0,35.5,462,14.438,403,12.594,1084,33.9,1006,31.4,2.4,0,191,6,501,15.7,,Appalachian St.,11
Arizona St.,13,33,2295,69.5,1982,60.1,9.5,72.7,458,619,74,1630,48.2,0,0,31.4,515,15.606,380,11.515,1034,31.3,981,29.7,1.6,0,195,5.9,526,15.9,,Arizona,12
Ark.-Pine Bluff,14,31,1943,62.7,2190,70.6,-8,41.9,401,649,61.8,1768,40.1,0,0,33.4,339,10.935,605,19.516,1179,38,1147,37,1,0,271,8.7,705,22.7,,Arizona St.,13
Arkansas,15,30,2238,74.6,2213,73.8,0.8,46.7,442,679,65.1,1821,43.8,0,0,36.9,390,13,419,13.967,1129,37.6,1079,36,1.7,0,227,7.6,521,17.4,,Ark.-Pine Bluff,14
Arkansas St.,16,30,1996,66.5,1948,64.9,1.6,43.3,390,571,68.3,1685,43.4,0,0,36.7,402,13.4,408,13.6,1094,36.5,1022,34.1,2.4,0,201,6.7,501,16.7,,Arkansas,15
Army West Point,17,30,1741,58,1823,60.8,-2.7,36.7,309,448,69,1533,42,0,0,33.8,396,13.2,459,15.3,876,29.2,1047,34.9,-5.7,0,224,7.5,579,19.3,,Arkansas St.,16
Auburn,18,33,2387,72.3,2143,64.9,7.4,66.7,436,721,60.5,1934,44.1,0,0,32.9,460,13.939,434,13.152,1208,36.6,1205,36.5,0.1,0,299,9.1,625,18.9,,Army West Point,17
Austin Peay,19,32,2411,75.3,2368,74,1.3,59.4,485,701,69.2,1820,46.9,0,0,35,467,14.594,429,13.406,1092,34.1,1111,34.7,-0.6,0,214,6.7,586,18.3,,Auburn,18
