,Team name,Team ID,GM,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
0,A&M-Corpus Christi,1,32,2126,66.4,2054,64.2,2.3,59.4,574,841,68.3,1574,44.5,467,32.5,31.8,330,10.3,408,12.8,1039,32.5,1059,33.1,-0.6,723,218,6.8,661,20.7
1,Abilene Christian,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Air Force,3,31,2037,65.7,2017,65.1,0.6,45.2,321,487,65.9,1565,47.4,625,37.1,36.1,483,15.6,366,11.8,930,30,954,30.8,-0.8,665,195,6.3,552,17.8
3,Akron,4,35,2382,68.1,2203,62.9,5.1,60,406,617,65.8,1982,41.6,937,35,32.8,435,12.4,422,12.1,1249,35.7,1223,34.9,0.7,829,230,6.6,654,18.7
4,Alabama,5,32,2135,66.7,2049,64,2.7,56.3,512,711,72,1616,43.8,655,31.6,32.3,330,10.3,391,12.2,1056,33,1057,33,0,746,208,6.5,619,19.3
5,Alabama A&M,6,29,1797,62,1985,68.4,-6.5,31,415,643,64.5,1533,39.7,577,28.8,32.5,354,12.2,413,14.2,998,34.4,1018,35.1,-0.7,631,165,5.7,573,19.8
6,Alabama St.,7,29,2090,72.1,1937,66.8,5.3,65.5,396,609,65,1738,43.8,480,35.8,33.9,393,13.6,397,13.7,1150,39.7,999,34.4,5.2,762,184,6.3,520,17.9
7,Albany (NY),8,32,2096,65.5,1927,60.2,5.3,75,487,640,76.1,1605,44,547,36,36.5,334,10.4,374,11.7,1076,33.6,924,28.9,4.8,756,181,5.7,528,16.5
8,Alcorn,9,32,2066,64.6,2377,74.3,-9.7,18.8,463,704,65.8,1865,38.8,553,28,37.1,285,8.9,367,11.5,1038,32.4,1200,37.5,-5.1,663,191,6,569,17.8
9,American,10,33,1938,58.7,1933,58.6,0.2,51.5,359,509,70.5,1479,46.2,571,37.3,34.3,408,12.4,370,11.2,828,25.1,983,29.8,-4.7,640,196,5.9,484,14.7
