,Team name,Team ID,Games,Win %,FG %,FT %,3pt %,opp 3pt %,assists,turnovers,defensive rebounds per game,offensive rebounds per game,steals per game,personal fouls per game,PPG,opp PPG,score margin,assists per game,turnovers per gae,3FGA
0,A&M-Corpus Christi,1,31,64.5,47.1,72.4,33.3,34.1,409,422,31.12,10.35,9,19.8,75.3,72.6,2.7,13.194,13.613,502
1,Abilene Christian,2,29,44.8,46.4,66.2,37.6,36.1,408,412,23.61,7.66,7.2,21.8,69.3,71.5,-2.2,14.069,14.207,526
2,Air Force,3,33,36.4,43.6,71.7,36.3,36.4,494,396,23.55,9.39,6,18,73.1,75.1,-2,14.97,12,728
3,Akron,4,34,76.5,47.1,68,37.4,36,499,396,25.45,9.88,5.4,18.1,77.2,70.3,6.9,14.676,11.647,928
4,Alabama,5,33,57.6,42.4,65,31.8,33.2,377,458,24.62,12.3,6,19.7,68.7,64.5,4.2,11.424,13.879,686
5,Alabama A&M,6,29,6.9,40.2,66.6,27.4,36.3,330,384,26.88,10.31,3.6,18.1,61.7,77.8,-16,11.379,13.241,457
6,Alabama St.,7,31,25.8,39.2,63.7,29.7,34.3,300,488,21.86,13.77,4.8,20.3,65.9,74.4,-8.5,9.6774,15.742,674
7,Albany (NY),8,34,61.8,46.8,75.8,37,34,430,404,24.68,11.06,5.2,17.7,71.8,65.9,5.9,12.647,11.882,495
8,Alcorn,9,32,56.3,42.9,65.2,33.2,30.6,425,452,25.03,12.09,6.5,19.1,69.4,68,1.4,13.281,14.125,669
9,American,10,30,26.7,44.9,61.8,31.8,36.8,339,396,26.75,6.8,7,18.3,61.5,68.3,-6.8,11.3,13.2,529
10,Appalachian St.,11,30,30,42,68.1,33.7,37.7,414,414,22.13,11.3,5.6,21.4,73.6,76,-2.4,13.8,13.8,744
11,Arizona,12,34,88.2,47.6,75.8,39.8,30.6,469,389,26.23,10.29,5.5,17,76.3,65.4,10.8,13.794,11.441,576
12,Arizona St.,13,33,45.5,43.4,74.9,36.6,36.4,430,344,26.47,9.21,5.9,16.9,78.6,81.7,-3.1,13.03,10.424,896
13,Ark.-Pine Bluff,14,32,21.9,40.3,65.2,33.5,31.8,334,578,23.42,10.47,8.7,22.4,61.8,72.5,-10.7,10.438,18.062,621
14,Arkansas,15,34,73.5,46.1,76.2,36.4,33.2,479,399,21.19,11.32,7.5,20.6,79.8,74,5.8,14.088,11.735,610
15,Arkansas St.,16,32,62.5,46.1,63.8,38,31.6,397,414,24.94,11,5.4,20.4,73.3,69.1,4.2,12.406,12.938,579
16,Army West Point,17,32,40.6,44.1,65.5,35.3,33,519,483,25.44,9.91,5.6,19.4,72.6,73.1,-0.5,16.219,15.094,825
17,Auburn,18,32,56.3,43.7,67.2,36.6,35.7,421,434,28,11.53,7.4,21,80.4,79.6,0.8,13.156,13.562,789
18,Austin Peay,19,30,36.7,46.9,70.8,35.5,37,324,373,25.06,8.17,5.7,18.2,77.7,83.8,-6.1,10.8,12.433,640
19,Ball St.,20,33,63.6,46.2,71.9,37.9,35.7,515,486,22.27,9.97,6,19.5,78.7,75.1,3.6,15.606,14.727,805
20,Baylor,21,32,78.1,47.1,71.7,35.9,31.6,502,429,27.76,12.88,5.1,17.7,72.7,62.7,10,15.688,13.406,601
21,Belmont,22,28,78.6,47.3,76.9,33.8,31.9,450,353,25.16,8.36,4.5,17.8,77.4,69.2,8.2,16.071,12.607,831
22,Bethune-Cookman,23,32,31.3,41.6,66.2,32,33.5,448,413,26.75,12.41,7.7,20.2,71.1,77.8,-6.7,14,12.906,712
23,Binghamton,24,32,37.5,43.7,70.5,36.2,36.1,410,397,23.03,7.84,5.2,17,68,70.9,-3,12.812,12.406,685
24,Boise St.,25,30,63.3,45.2,71.4,35.6,33.6,374,384,25.13,9.67,4.9,20.9,75.8,71.3,4.5,12.467,12.8,685
25,Boston College,26,32,28.1,44.8,68,37.4,35.4,473,467,26.07,9.13,5.6,18.7,72.5,78.4,-5.9,14.781,14.594,684
26,Boston U.,27,32,56.3,44.3,69.6,35.4,36.3,449,459,25.78,10.03,8.3,19.1,73.1,70.8,2.3,14.031,14.344,773
27,Bowling Green,28,32,40.6,42.5,66.7,34.2,34.2,390,408,25.63,11.03,6.9,19.5,73.6,76.7,-3.1,12.188,12.75,644
28,Bradley,29,33,39.4,42.3,67.2,35.6,34.2,373,499,25,9,6.2,20.4,65.5,70.7,-5.2,11.303,15.121,609
29,Brown,30,30,43.3,44.3,75.9,36.7,37.2,400,431,26.21,9.17,7.6,19.9,75.8,77.9,-2.1,13.333,14.367,665
30,Bryant,31,32,37.5,43.7,72,33.8,33.2,460,428,21.93,10.78,6.8,21.3,74.2,77.4,-3.3,14.375,13.375,702
31,Bucknell,32,34,76.5,48.1,67.9,37.7,34,497,451,25.09,8.62,7.2,18.5,76.1,67.4,8.7,14.618,13.265,734
32,Buffalo,33,32,53.1,45.1,69.2,33,34.7,459,466,25.82,12.41,5.7,23,77.7,74.2,3.5,14.344,14.562,727
33,Butler,34,31,74.2,47.8,74,36.3,33.4,409,315,28.06,8.77,6.2,18.9,76.3,68.4,7.9,13.194,10.161,652
34,BYU,35,33,66.7,45.7,73.2,34.4,32.3,516,449,23.26,10.52,6.7,19.4,80.4,73.3,7.1,15.636,13.606,636
35,Cal Poly,36,31,35.5,40.3,69.7,34,39.1,322,333,22.65,9.68,5.2,18.5,67.2,72.3,-5.2,10.387,10.742,759
36,Cal St. Fullerton,37,31,54.8,44.5,68.4,31.4,33.4,374,471,26.48,10.77,7,20.8,73.4,71,2.4,12.065,15.194,605
37,California,38,33,63.6,42.5,66.3,34,32.4,401,415,27.55,11.55,4.9,19,68.2,63.1,5.1,12.152,12.576,645
38,Campbell,39,34,50,45.3,75,36.5,34.1,387,445,24.97,7.82,6.7,18.1,71.1,70.3,0.8,11.382,13.088,717
39,Canisius,40,33,54.5,45.4,73.4,37.4,34.6,579,436,22.3,10.85,6.8,19.5,78.5,77.7,0.8,17.545,13.212,812
40,Central Ark.,41,32,25,43.7,71.8,37.5,39.2,465,446,25.41,10.53,5.6,18.9,74.8,84.1,-9.3,14.531,13.938,614
41,Central Conn. St.,42,29,20.7,42.1,62,35.1,38,340,413,21.79,11.45,5.7,18.6,63,72.8,-9.8,11.724,14.241,416
42,Central Mich.,43,32,50,42.4,79.1,35.8,34.6,362,362,27.53,11.38,5.6,19.1,88.3,87.7,0.6,11.312,11.312,1115
43,Charleston So.,44,31,38.7,44.1,66.6,34.1,35.9,341,358,24.39,10.84,5.7,20,74.3,75.6,-1.3,11,11.548,669
44,Charlotte,45,30,43.3,44.4,74.6,37.6,36.6,361,366,25.17,7.47,6.3,19.3,76.5,80.2,-3.7,12.033,12.2,630
45,Chattanooga,46,31,61.3,46.6,71,34.6,34.2,377,413,22.03,10.39,7.8,18.4,74.6,68.8,5.9,12.161,13.323,667
46,Chicago St.,47,32,18.8,38.4,70.1,31.1,36.1,360,440,24.34,10.75,6.7,19.3,65.3,78.5,-13.2,11.25,13.75,681
47,Cincinnati,48,34,85.3,45.4,68.3,34.3,34.1,538,340,24.79,12.38,7.5,16,74.5,60.8,13.6,15.824,10,734
48,Clemson,49,32,53.1,45.1,72.8,35.7,35.7,398,344,23.03,11.06,7.1,15.3,75,71.5,3.5,12.438,10.75,649
49,Cleveland St.,50,31,29,40.5,69.1,30.9,35,327,405,22.1,10.94,7.1,20.5,67.2,71.7,-4.5,10.548,13.065,709
50,Coastal Caro.,51,33,48.5,42.2,65.5,33.7,33.1,404,430,27.88,12.18,5.6,18.2,72.2,72.9,-0.7,12.242,13.03,842
51,Col. of Charleston,52,34,73.5,43.2,73.7,33,30.7,349,353,25.53,8.53,5.6,17.1,68.9,64.1,4.8,10.265,10.382,633
52,Colgate,53,32,31.3,44,67.7,37,37.5,414,470,24.19,8.22,5.1,18.8,67,71,-4,12.938,14.688,732
53,Colorado,54,33,57.6,44.6,70.3,35.2,36.2,459,403,25.85,11.76,5.1,18.4,75.6,72,3.6,13.909,12.212,685
54,Colorado St.,55,34,67.6,42.6,73.4,34.3,31.2,374,369,26.85,11.26,6,17.4,72.6,67.4,5.1,11,10.853,702
55,Columbia,56,27,40.7,43.6,70.8,35.9,36.1,422,347,24.93,10.11,7.1,18.7,71.9,72.7,-0.9,15.63,12.852,587
56,Coppin St.,57,32,25,38.2,65,31.8,35,335,440,23.38,11.47,5.7,20.8,66.2,78.8,-12.6,10.469,13.75,733
57,Cornell,58,29,27.6,45.3,69.8,33.9,35.4,420,419,26.07,7.55,5.2,18.2,71.5,77.2,-5.7,14.483,14.448,720
58,Creighton,59,34,73.5,50.8,68.2,39.9,33.3,587,424,26.71,8.18,6.2,16.6,82.1,72.5,9.6,17.265,12.471,744
59,CSU Bakersfield,60,31,71,44.1,63.4,33.5,32.3,448,464,26.26,12.58,8.6,22.4,71.2,63,8.2,14.452,14.968,571
60,CSUN,61,30,36.7,46.1,72.9,34.9,38.6,411,399,25.2,9.83,6.9,21.3,78,81.3,-3.3,13.7,13.3,415
61,Dartmouth,62,27,25.9,43.2,70.9,35.3,35,309,401,24.7,9.22,4.7,18.3,67.1,74.8,-7.7,11.444,14.852,563
62,Davidson,63,32,53.1,43.7,75.3,34.1,38.1,500,390,27,8.91,5.1,18.2,73.8,71.6,2.2,15.625,12.188,856
63,Dayton,64,31,77.4,47,68.9,38.7,32.5,489,370,25.84,8.61,7.8,18.6,76.5,66.5,9.9,15.774,11.935,649
64,Delaware,65,33,39.4,42.1,68.6,30.4,36.3,385,396,25.39,9.76,5.3,19,65.4,72.2,-6.8,11.667,12,644
65,Delaware St.,66,32,31.3,41.9,65.9,36.2,35,429,436,22.16,10.88,5.5,19,68.3,75,-6.7,13.406,13.625,727
66,Denver,67,30,53.3,48.2,73.4,40.2,35.8,452,404,26.17,9.1,5,20.1,75.8,74.6,1.1,15.067,13.467,555
67,DePaul,68,32,28.1,43,73.5,32.6,36.1,365,451,22.41,10.59,6.7,19.8,68.9,74.6,-5.7,11.406,14.094,564
68,Detroit Mercy,69,31,25.8,44.5,66.4,37.2,38,398,451,23.1,10.32,6.5,23.9,77,84.8,-7.8,12.839,14.548,675
69,Drake,70,31,22.6,40.9,75.6,34.4,36.9,403,389,24.52,10.03,6.1,18.2,71.2,77.1,-5.9,13,12.548,784
70,Drexel,71,32,28.1,43.5,66.7,34.5,35.7,470,425,24.91,11.88,5.8,20.2,74.9,78.4,-3.5,14.688,13.281,741
